"","date","depth","mean_do"
"260",2020-01-07,1.5,11.2088888888889
"261",2020-01-07,2,11.0066666666667
"262",2020-01-07,2.5,10.9172962962778
"263",2020-01-07,3,10.8279259258889
"264",2020-01-07,3.5,10.7385555555
"265",2020-01-07,4,10.80959375
"266",2020-01-07,4.5,10.6738359375
"267",2020-01-07,5,10.538078125
"268",2020-01-07,5.5,10.4023203125
"269",2020-01-07,6,10.2665625
"270",2020-01-07,6.5,10.0195
"271",2020-01-07,7,9.7724375
"272",2020-01-07,7.5,9.525375
"273",2020-01-07,8,9.2783125
"274",2020-01-07,8.5,9.6189166675
"275",2020-01-07,9,9.959520835
"276",2020-01-07,9.5,10.3001250025
"277",2020-01-07,10,10.64072917
"278",2020-01-07,10.5,10.337164065
"279",2020-01-07,11,10.03359896
"280",2020-01-07,11.5,9.730033855
"281",2020-01-07,12,9.42646875
"282",2020-01-07,12.5,9.644122395
"283",2020-01-07,13,9.86177604
"284",2020-01-07,13.5,10.079429685
"285",2020-01-07,14,10.29708333
"286",2020-01-07,14.5,10.04701822675
"287",2020-01-07,15,9.7969531235
"288",2020-01-07,15.5,9.54688802025
"289",2020-01-07,16,9.296822917
"290",2020-01-07,16.5,8.91510937525
"291",2020-01-07,17,8.5333958335
"292",2020-01-07,17.5,8.15168229175
"293",2020-01-07,18,7.76996875
"294",2020-01-07,18.5,7.33690625
"295",2020-01-07,19,6.90384375
"296",2020-01-07,19.5,6.47078125
"297",2020-01-07,20,6.03771875
"298",2020-01-07,20.5,4.54432291675
"299",2020-01-07,21,3.0509270835
"300",2020-01-07,21.5,1.55753125025
"301",2020-01-07,22,0.064135417
"302",2020-01-08,1,11.3796296296296
"303",2020-01-08,1.5,11.177037037037
"304",2020-01-08,2,10.9744444444444
"305",2020-01-08,2.5,10.8833508873241
"306",2020-01-08,3,10.7922573302037
"307",2020-01-08,3.5,10.7011637730833
"308",2020-01-08,4,10.67571875
"309",2020-01-08,4.5,10.655565105
"310",2020-01-08,5,10.63541146
"311",2020-01-08,5.5,10.615257815
"312",2020-01-08,6,10.59510417
"313",2020-01-08,6.5,10.24630208575
"314",2020-01-08,7,9.8975000015
"315",2020-01-08,7.5,9.54869791725
"316",2020-01-08,8,9.199895833
"317",2020-01-08,8.5,9.57374999975
"318",2020-01-08,9,9.9476041665
"319",2020-01-08,9.5,10.32145833325
"320",2020-01-08,10,10.6953125
"321",2020-01-08,10.5,10.40125
"322",2020-01-08,11,10.1071875
"323",2020-01-08,11.5,9.813125
"324",2020-01-08,12,9.5190625
"325",2020-01-08,12.5,9.6959114575
"326",2020-01-08,13,9.872760415
"327",2020-01-08,13.5,10.0496093725
"328",2020-01-08,14,10.22645833
"329",2020-01-08,14.5,9.963523435
"330",2020-01-08,15,9.70058854
"331",2020-01-08,15.5,9.437653645
"332",2020-01-08,16,9.17471875
"333",2020-01-08,16.5,8.907671875
"334",2020-01-08,17,8.640625
"335",2020-01-08,17.5,8.373578125
"336",2020-01-08,18,8.10653125
"337",2020-01-08,18.5,7.63363541675
"338",2020-01-08,19,7.1607395835
"339",2020-01-08,19.5,6.68784375025
"340",2020-01-08,20,6.214947917
"341",2020-01-08,20.5,4.69499218775
"342",2020-01-08,21,3.1750364585
"343",2020-01-08,21.5,1.65508072925
"344",2020-01-08,22,0.135125
"345",2020-01-09,1,11.3481481481481
"346",2020-01-09,1.5,11.1451851851852
"347",2020-01-09,2,10.9422222222222
"348",2020-01-09,2.5,10.8494054783704
"349",2020-01-09,3,10.7565887345185
"350",2020-01-09,3.5,10.6637719906667
"351",2020-01-09,4,10.35266667
"352",2020-01-09,4.5,10.4317656275
"353",2020-01-09,5,10.510864585
"354",2020-01-09,5.5,10.5899635425
"355",2020-01-09,6,10.6690625
"356",2020-01-09,6.5,10.27366927075
"357",2020-01-09,7,9.8782760415
"358",2020-01-09,7.5,9.48288281225
"359",2020-01-09,8,9.087489583
"360",2020-01-09,8.5,9.48340364475
"361",2020-01-09,9,9.8793177065
"362",2020-01-09,9.5,10.27523176825
"363",2020-01-09,10,10.67114583
